Clave,Longitud,Latitud,Altura,Nombre,Virtual,Region,comid
E000000044,-79.275003310000002,-3.974968170000000,2343,,,SIERRA,670048619
E000000045,-79.075003310000000,-3.974968170000000,2026,,V,AMAZONIA,620616942
E000000046,-80.375003309999997,-3.924968170000000,678,,,COSTA,670053740
E000000047,-80.225003310000005,-3.924968170000000,422,,,COSTA,670050666
E000000048,-79.875003309999997,-3.924968170000000,1009,,,SIERRA,670034282
E000000049,-79.675003309999994,-3.924968170000000,1779,,,SIERRA,670033256
E000000050,-79.475003310000005,-3.924968170000000,1886,,,SIERRA,670029161
E000000051,-78.675003309999994,-3.924968170000000,822,,V,AMAZONIA,620974700
E000000052,-80.025003310000002,-3.774968170000000,425,,,COSTA,670029156
E000000053,-79.925003309999994,-3.774968170000000,526,,,COSTA,670030180
E000000054,-79.775003310000002,-3.774968170000000,931,,,COSTA,670036324
E000000055,-79.475003310000005,-3.774968170000000,1676,,,COSTA,670033251
E000000056,-79.125003309999997,-3.774968170000000,2772,,,AMAZONIA,620616931
E000000057,-78.925003309999994,-3.774968170000000,1476,,,AMAZONIA,620834339
E000000058,-79.825003310000000,-3.724968170000000,798,,,COSTA,670032225
E0000M0432,-79.261388890000006,-3.731944444000000,2525,SAN LUCAS INAMHI,,SIERRA,620669217
E000000060,-79.725003310000005,-3.674968170000000,1074,,V,COSTA,670035296
E0000M0180,-79.611555559999999,-3.697527778000000,1100,ZARUMA,,COSTA,670036321
E0000M0142,-79.232100000000003,-3.612100000000000,2525,SARAGURO,,SIERRA,670038366
E0000M0502,-78.590000000000003,-3.628333333000000,650,EL PANGUI,,AMAZONIA,620579771
E000000064,-80.475003310000005,-3.574968170000000,12,,,COSTA,670048598
E000000065,-79.925003309999994,-3.574968170000000,181,,,COSTA,670033245
E000000066,-79.825003310000000,-3.574968170000000,841,,,COSTA,670032221
E000000067,-79.475003310000005,-3.574968170000000,3367,,,SIERRA,670040414
E000000068,-79.125003309999997,-3.574968170000000,3148,,,SIERRA,670057819
E000000069,-78.975003310000005,-3.574968170000000,2186,,,AMAZONIA,620003224
E000000070,-80.175003309999994,-3.524968170000000,18,,V,COSTA,670034264
E000000071,-79.875003309999997,-3.524968170000000,115,,,COSTA,670025050
E000000072,-79.775003310000002,-3.424968170000000,218,,,COSTA,670027094
E000000073,-79.325003310000000,-3.424968170000000,1648,,,SIERRA,670045528
E000000074,-79.125003309999997,-3.424968170000000,2361,,,SIERRA,670036311
E000000075,-78.875003309999997,-3.424968170000000,3067,,,AMAZONIA,620541232
E000000076,-80.225003310000005,-3.374968170000000,13,,,COSTA,670040407
E0000M0189,-78.577583329999996,-3.400944444000000,750,GUALAQUIZA INAMHI,,AMAZONIA,620699471
E000000078,-80.275003310000002,-3.324968170000000,0,,,COSTA,670038356
E000000079,-79.825003310000000,-3.324968170000000,19,,V,COSTA,670042451
E000000080,-79.725003310000005,-3.324968170000000,132,,,COSTA,670032213
E000000081,-79.625003309999997,-3.324968170000000,258,,,COSTA,670033235
E0000M0481,-79.583333330000002,-3.321111111000000,290,USHCURRUMI,,COSTA,670031187
E000000083,-78.275003310000002,-3.324968170000000,1515,,,AMAZONIA,620597644
E000000084,-79.925003309999994,-3.274968170000000,13,,V,COSTA,670019921
E000000085,-79.275003310000002,-3.274968170000000,1249,,V,SIERRA,670016849
E000000086,-79.225003310000005,-3.224968170000000,1921,,,SIERRA,670030158
E000000087,-78.975003310000005,-3.224968170000000,3136,,,SIERRA,670021969
E000000088,-78.775003310000002,-3.224968170000000,1922,,,AMAZONIA,620582502
E000000089,-79.475003310000005,-3.174968170000000,3345,,,SIERRA,670018894
E0000M0419,-79.148888889999995,-3.163333333000000,2130,GIRON,,SIERRA,670017869
E000000091,-79.875003309999997,-3.124968170000000,0,,,COSTA,670026059
E000000092,-79.725003310000005,-3.074968170000000,463,,V,SIERRA,670012746
E000000093,-78.575003310000000,-3.074968170000000,1952,,,AMAZONIA,620685694
E000000094,-79.475003310000005,-3.024968170000000,2182,,,SIERRA,670011721
E000000095,-79.325003310000000,-3.024968170000000,3776,,,SIERRA,620611386
E000000096,-79.125003309999997,-3.024968170000000,2991,,,SIERRA,620739354
E000000097,-78.975003310000005,-3.024968170000000,2909,,,SIERRA,620740730
E0000M0424,-78.786111109999993,-3.048333333000000,2600,SIGSIG INAMHI,,SIERRA,620821917
E000000099,-78.025003310000002,-3.024968170000000,371,,,AMAZONIA,621057211
E000000100,-80.125003309999997,-2.974968170000000,0,,,COSTA,670018887
E000000101,-79.625003309999997,-2.974968170000000,189,,,COSTA,670027079
E000000102,-79.125003309999997,-2.924968170000000,3117,,,SIERRA,620843927
E000000103,-79.675003309999994,-2.874968170000000,53,,,COSTA,670020930
E000000104,-79.525003310000002,-2.874968170000000,849,,,COSTA,670014786
E000000105,-79.325003310000000,-2.874968170000000,4146,,,SIERRA,670019908
E0000M0427,-79.076111109999999,-2.865833333000000,2780,SAYAUSI(MATADERO DJ.),,SIERRA,620797139
E000000107,-78.975003310000005,-2.874968170000000,2476,,V,SIERRA,620889331
E0000M0139,-78.780600000000007,-2.898100000000000,2230,GUALACEO,,SIERRA,620871445
E000000109,-80.225003310000005,-2.824968170000000,24,,,COSTA,670013761
E000000110,-80.125003309999997,-2.824968170000000,11,,,COSTA,670013761
E0000M0429,-79.131666670000001,-2.826111111000000,2800,SURUCUCHO(LLULLUCHIS),,SIERRA,620783377
E000000112,-79.025003310000002,-2.824968170000000,3029,,,SIERRA,620005938
E0000M0426,-78.948611110000002,-2.850833333000000,2545,RICAURTE-CUENCA,,SIERRA,621028308
E000000114,-78.875003309999997,-2.824968170000000,2330,,,SIERRA,620805392
E0000M0431,-78.657222219999994,-2.804166667000000,2360,SEVILLA DE ORO,,SIERRA,620775120
E000000116,-79.025003310000002,-2.774968170000000,3308,,,SIERRA,620008686
E0000M0138,-78.762799999999999,-2.800000000000000,2194,PAUTE,,SIERRA,621009039
E000000118,-79.925003309999994,-2.724968170000000,0,,,COSTA,670024000
E0000M0141,-79.073055560000000,-2.732777778000000,3335,EL LABRADO,,SIERRA,620005931
E000000120,-78.875003309999997,-2.724968170000000,2559,,V,SIERRA,620747595
E000000121,-78.625003309999997,-2.724968170000000,2698,,V,SIERRA,620930603
E000000122,-78.325003310000000,-2.724968170000000,646,,V,AMAZONIA,620959499
E0000M0176,-79.618055560000002,-2.659916667000000,50,NARANJAL,,COSTA,670020924
E000000124,-79.475003310000005,-2.674968170000000,1377,,,COSTA,670037305
E000000125,-79.325003310000000,-2.674968170000000,2046,,,SIERRA,670016827
E000000126,-79.125003309999997,-2.674968170000000,4131,,,SIERRA,670017852
E000000127,-78.425003309999994,-2.674968170000000,2490,,,AMAZONIA,620616873
E000000128,-77.875003309999997,-2.674968170000000,802,,,AMAZONIA,620524677
E000000129,-77.475003310000005,-2.674968170000000,225,,,AMAZONIA,621021416
E000000130,-78.625003309999997,-2.624968170000000,2463,,,SIERRA,620967750
E000000131,-77.075003310000000,-2.624968170000000,273,,,AMAZONIA,620768224
E000000132,-80.375003309999997,-2.574968170000000,14,,,COSTA,670030136
E000000133,-79.575003310000000,-2.574968170000000,25,,,COSTA,670045496
E000000134,-79.375003309999997,-2.574968170000000,456,,,COSTA,670038329
E000000135,-78.925003309999994,-2.574968170000000,3361,,V,SIERRA,670041398
E000000136,-78.875003309999997,-2.574968170000000,3039,,,SIERRA,670047544
E000000137,-78.775003310000002,-2.574968170000000,3188,,,SIERRA,670028088
E0000M0410,-78.650000000000006,-2.573611111000000,2450,RIO MAZAR-RIVERA,,SIERRA,620786115
E000000139,-78.575003310000000,-2.574968170000000,2166,,V,SIERRA,620989764
E000000140,-78.525003310000002,-2.574968170000000,2171,,,AMAZONIA,620976006
E000000141,-76.825003310000000,-2.574968170000000,260,,,AMAZONIA,621013154
E0000M0477,-79.543888890000005,-2.530277700000000,50,PUERTO INCA(CA�AR EN),,COSTA,670061878
E000000143,-78.875003309999997,-2.524968170000000,3248,,V,SIERRA,670044470
E000000144,-78.425003309999994,-2.524968170000000,3273,,,AMAZONIA,620541184
E000000145,-79.225003310000005,-2.474968170000000,740,,,SIERRA,670043443
E0000M0412,-79.058999999999997,-2.446800000000000,2620,SUSCALPAMBA(CAPILLA DOLOROSA),,SIERRA,670050612
E0000M0412,-79.058999999999997,-2.446800000000000,2620,SUSCALPAMBA(CAPILLA DOLOROSA),,SIERRA,670049588
E000000147,-79.375003309999997,-2.424968170000000,37,,,SIERRA,670031156
E000000148,-79.125003309999997,-2.424968170000000,1462,,,SIERRA,670044466
E000000149,-77.525003310000002,-2.374968170000000,533,,,AMAZONIA,620757206
E000000150,-77.125003309999997,-2.374968170000000,306,,,AMAZONIA,620620986
E000000151,-80.425003309999994,-2.324968170000000,76,,,COSTA,670043439
E000000152,-79.475003310000005,-2.324968170000000,21,,,COSTA,670052654
E000000153,-79.325003310000000,-2.324968170000000,66,,,COSTA,670068015
E000000154,-78.925003309999994,-2.324968170000000,2598,,V,SIERRA,670053678
E000000155,-78.575003310000000,-2.324968170000000,4134,,,AMAZONIA,620571444
E000000156,-78.475003310000005,-2.324968170000000,2577,,,AMAZONIA,620572820
E000000157,-77.825003310000000,-2.324968170000000,1435,,,AMAZONIA,620541174
E000000158,-76.725003310000005,-2.324968170000000,279,,,AMAZONIA,620601719
E000000159,-80.425003309999994,-2.274968170000000,73,,,COSTA,670048557
E000000160,-79.925003309999994,-2.274968170000000,0,,,COSTA,670045483
E000000161,-79.875003309999997,-2.274968170000000,8,,,COSTA,670019886
E000000161,-79.875003309999997,-2.274968170000000,8,,,COSTA,670068013
E0000M0136,-78.922200000000004,-2.274300000000000,2177,CHUNCHI,,SIERRA,670086444
E000000163,-78.875003309999997,-2.274968170000000,3137,,,SIERRA,670073132
E000000164,-78.775003310000002,-2.274968170000000,3380,,V,SIERRA,670069037
E000000165,-78.175003309999994,-2.274968170000000,1210,,,AMAZONIA,620773715
E000000166,-78.125003309999997,-2.274968170000000,1057,,V,AMAZONIA,620773715
E000000167,-76.425003309999994,-2.274968170000000,303,,,AMAZONIA,620810865
E000000168,-80.825003310000000,-2.224968170000000,19,,,COSTA,670003499
E000000169,-80.575003310000000,-2.224968170000000,72,,,COSTA,670052651
E000000170,-80.125003309999997,-2.224968170000000,37,,,COSTA,670053673
E000000171,-79.925003309999994,-2.224968170000000,9,,,COSTA,670045483
E000000172,-79.875003309999997,-2.224968170000000,1,,,COSTA,670086442
E000000173,-79.425003309999994,-2.224968170000000,30,,,COSTA,670042411
E0000M0405,-78.813888890000001,-2.231111111000000,2438,GUASUNTOS,,SIERRA,670048555
E000000175,-80.475003310000005,-2.174968170000000,81,,,COSTA,670048553
E000000176,-80.025003310000002,-2.174968170000000,227,,,COSTA,670050602
E000000177,-79.975003310000005,-2.174968170000000,105,,,COSTA,670052650
E000000178,-79.875003309999997,-2.174968170000000,2,,V,COSTA,670081320
E000000179,-79.325003310000000,-2.174968170000000,74,,,COSTA,670084394
E000000180,-79.125003309999997,-2.174968170000000,552,,,COSTA,670076202
E000000181,-78.975003310000005,-2.174968170000000,3292,,,SIERRA,670047529
E000000182,-78.825003310000000,-2.174968170000000,2747,,,SIERRA,670065960
E000000183,-78.575003310000000,-2.174968170000000,3734,,,SIERRA,620600335
E000000184,-78.425003309999994,-2.174968170000000,3162,,,AMAZONIA,620611340
E000000185,-79.715003310000000,-2.224968170000000,5,,V,COSTA,670056747
E000000186,-77.925003309999994,-2.074968170000000,1045,,,AMAZONIA,620715911
E000000187,-80.625003309999997,-2.024968170000000,5,,,COSTA,670056739
E000000188,-79.975003310000005,-2.024968170000000,61,,,COSTA,670051621
E000000188,-79.975003310000005,-2.024968170000000,61,,,COSTA,670052644
E0000M0391,-78.972222220000006,-2.000472222000000,1523,PALLATANGA,,SIERRA,670035234
E000000190,-79.325003310000000,-1.974968170000000,21,,,COSTA,670040352
E0000M0130,-79.066800000000001,-1.980100000000000,2320,CHILLANES,,SIERRA,670037281
E000000192,-78.775003310000002,-1.974968170000000,3574,,,SIERRA,620711780
E000000193,-78.175003309999994,-1.974968170000000,1795,,,AMAZONIA,620735172
E000000194,-77.425003309999994,-1.974968170000000,468,,,AMAZONIA,620681509
E000000195,-77.075003310000000,-1.974968170000000,367,,,AMAZONIA,620651236
E000000196,-76.725003310000005,-1.974968170000000,279,,,AMAZONIA,620554914
E000000197,-76.375003309999997,-1.974968170000000,213,,,AMAZONIA,620682885
E000000198,-80.675003309999994,-1.924968170000000,77,,V,COSTA,670047519
E000000199,-79.775003310000002,-1.924968170000000,11,,,COSTA,670029087
E000000200,-79.075003310000000,-1.924968170000000,2703,,V,SIERRA,670032161
E0000M0402,-78.980000000000004,-1.941944444000000,2266,CHIMBO DJ PANGOR,,SIERRA,670046496
E0000M0395,-78.640833330000007,-1.907777778000000,2930,CEBADAS,,SIERRA,620945696
E000000203,-76.075003310000000,-1.924968170000000,215,,,AMAZONIA,620817729
E000000204,-80.225003310000005,-1.874968170000000,47,,,COSTA,670077213
E0000M0396,-78.483333329999994,-1.883333333000000,3200,ALAO,,SIERRA,620750302
E0000M0051,-79.547222219999995,-1.796944444000000,7,BABAHOYO-UTB,,COSTA,670066971
E000000207,-78.625003309999997,-1.824968170000000,3170,,V,SIERRA,620545276
E000000208,-78.575003310000000,-1.824968170000000,3112,,,SIERRA,620843870
E000000209,-79.275003310000002,-1.774968170000000,105,,,COSTA,670058778
E000000210,-79.125003309999997,-1.774968170000000,1864,,,SIERRA,670032155
E0000M0404,-78.995972219999999,-1.807222222000000,2800,CA�I-LIMBE,,SIERRA,670035227
E000000212,-78.775003310000002,-1.774968170000000,3582,,,SIERRA,620651227
E000000213,-78.425003309999994,-1.774968170000000,3612,,,AMAZONIA,620615448
E000000214,-78.675003309999994,-1.724968170000000,2848,,V,SIERRA,620827348
E000000215,-80.725003310000005,-1.674968170000000,323,,,COSTA,670062871
E000000216,-80.125003309999997,-1.674968170000000,23,,,COSTA,670066966
E0000M0476,-79.995833329999996,-1.696111111000000,7,LA CAPILLA INAMHI,,COSTA,670074133
E000000218,-79.025003310000002,-1.674968170000000,2713,,,SIERRA,670042391
E000000219,-78.625003309999997,-1.674968170000000,2738,,V,SIERRA,620988341
E000000220,-78.525003310000002,-1.674968170000000,3788,,,SIERRA,620684243
E000000221,-79.325003310000000,-1.624968170000000,165,,,COSTA,670057749
E000000222,-79.275003310000002,-1.624968170000000,294,,V,SIERRA,670057749
E0000M0388,-79.131388889999997,-1.580000000000000,2200,RIO SAN ANTONIO-MONJAS,,SIERRA,670047507
E0000M0393,-78.782666669999998,-1.632250000000000,3220,SAN JUAN-CHIMBORAZO,,SIERRA,620794321
E0000M0408,-78.635277779999996,-1.609166667000000,2620,GUANO,,SIERRA,620813584
E000000226,-78.425003309999994,-1.624968170000000,3991,,,SIERRA,620583793
E000000227,-78.225003310000005,-1.624968170000000,1965,,,AMAZONIA,620571410
E000000228,-77.475003310000005,-1.624968170000000,550,,,AMAZONIA,620812211
E000000229,-76.375003309999997,-1.624968170000000,202,,,AMAZONIA,620037520
E000000230,-76.025003310000002,-1.624968170000000,188,,,AMAZONIA,621026864
E0000M0459,-80.591666669999995,-1.578888889000000,465,SAN PABLO-MANABI,,COSTA,670042389
E0000M0458,-80.505833330000002,-1.578333333000000,200,COLIMES DE PAJAN,,COSTA,670041363
E000000233,-80.379898999999995,-1.723855000000000,152,,V,COSTA,670065946
E0000M0466,-79.751333329999994,-1.542361111000000,14,VINCES INAMHI,,COSTA,670061841
E000000235,-77.125003309999997,-1.574968170000000,361,,,AMAZONIA,620586541
E000000236,-76.725003310000005,-1.574968170000000,265,,,AMAZONIA,620700750
E000000237,-75.725003310000005,-1.574968170000000,201,,,AMAZONIA,620814957
E000000238,-80.425003309999994,-1.524968170000000,225,,,COSTA,670059792
E000000239,-80.025003310000002,-1.524968170000000,20,,V,COSTA,670037265
E000000240,-79.525003310000002,-1.524968170000000,15,,V,COSTA,670061839
E000000241,-79.025003310000002,-1.524968170000000,3158,,,SIERRA,670066960
E0000M0169,-80.626166670000003,-1.474527778000000,263,JULCUY,,COSTA,670044432
E000000243,-80.575003310000000,-1.474968170000000,279,,,COSTA,670040335
E0000M0451,-80.538611110000005,-1.479444444000000,398,EL ANEGADO,,COSTA,670006544
E000000245,-79.725003310000005,-1.474968170000000,25,,,COSTA,670073103
E000000246,-79.675003309999994,-1.474968170000000,34,,,COSTA,670069007
E000000247,-79.525003310000002,-1.474968170000000,37,,,COSTA,670061839
E000000248,-79.325003310000000,-1.474968170000000,173,,,SIERRA,670052624
E000000249,-78.675003309999994,-1.474968170000000,3738,,V,SIERRA,620618184
E0000M0008,-77.956000000000003,-1.505700000000000,956,PUYO,,AMAZONIA,620709003
E000000251,-80.225534999999994,-1.525866000000000,137,,V,COSTA,670042385
E000000252,-79.875003309999997,-1.424968170000000,11,,,COSTA,670071053
E000000253,-79.825003310000000,-1.424968170000000,47,,,COSTA,670021901
E0000M0465,-79.465555559999999,-1.444166667000000,52,VENTANAS INAMHI,,COSTA,670061838
E0000M0383,-79.278611110000000,-1.431694444000000,308,,,COSTA,670054670
E000000256,-79.125003309999997,-1.424968170000000,1366,,,SIERRA,670050575
E000000257,-78.775003310000002,-1.424968170000000,4262,,,SIERRA,620505351
E000000258,-78.275003310000002,-1.424968170000000,1702,,V,SIERRA,621022725
E000000259,-80.625003309999997,-1.374968170000000,207,,,COSTA,670047499
E0000M0455,-80.594444440000004,-1.362500000000000,260,JOA-JIPIJAPA,,COSTA,670006539
E000000261,-80.425003309999994,-1.374968170000000,212,,,COSTA,670009611
E0000M0166,-80.206944440000001,-1.394694444000000,50,OLMEDO-MANABI,,COSTA,670058764
E000000263,-79.725003310000005,-1.374968170000000,17,,,COSTA,670042380
E000000264,-79.525003310000002,-1.374968170000000,14,,,COSTA,670056716
E000000265,-78.725003310000005,-1.374968170000000,3900,,,SIERRA,620682848
E0000M0128,-78.612777780000002,-1.356111111000000,2910,PEDRO FERMIN CEVALLOS(COLEGIO),,SIERRA,620630561
E000000267,-78.575003310000000,-1.374968170000000,3362,,V,SIERRA,620768163
E0000M0380,-78.530933329999996,-1.390722222000000,2880,HUAMBALO,,SIERRA,620612675
E000000269,-78.425003309999994,-1.374968170000000,2045,,V,SIERRA,620960804
E000000270,-78.375003309999997,-1.374968170000000,2969,,,SIERRA,620864482
E000000271,-77.775003310000002,-1.374968170000000,959,,,AMAZONIA,620669092
E0000M0457,-80.737444440000004,-1.352722222000000,14,PUERTO CAYO,,COSTA,670050571
E000000273,-80.575003310000000,-1.324968170000000,359,,,COSTA,670063880
E000000274,-79.725003310000005,-1.324968170000000,42,,,COSTA,670047500
E000000275,-79.425003309999994,-1.324968170000000,40,,,COSTA,670074120
E0000M0376,-78.732805560000003,-1.304527778000000,3314,PILAHUIN,,SIERRA,620722751
E0000M0377,-78.670277780000006,-1.348333333000000,3266,TISALEO,,SIERRA,620630561
E000000278,-78.475003310000005,-1.324968170000000,2555,,V,SIERRA,620009985
E0000M0447,-80.418333329999996,-1.278777778000000,115,24 DE MAYO(JABONCILLO),,COSTA,670049544
E000000280,-79.125003309999997,-1.274968170000000,1414,,,SIERRA,670059784
E000000281,-78.975003310000005,-1.274968170000000,2944,,,SIERRA,670045447
E000000282,-78.825003310000000,-1.274968170000000,3319,,,SIERRA,620750269
E000000283,-78.625003309999997,-1.274968170000000,2721,,V,SIERRA,620642943
E000000284,-78.225003310000005,-1.274968170000000,2138,,,SIERRA,620794301
E000000285,-78.075003310000000,-1.274968170000000,2245,,,AMAZONIA,620682847
E000000286,-77.125003309999997,-1.274968170000000,302,,,AMAZONIA,620933278
E000000287,-75.675003309999994,-1.274968170000000,204,,,AMAZONIA,620736511
E0000M0449,-80.586666670000000,-1.258055556000000,255,SANCAN-INAMHI,,COSTA,670052615
E000000289,-80.425003309999994,-1.224968170000000,84,,,COSTA,670050568
E000000290,-80.325003310000000,-1.224968170000000,185,,,COSTA,670050566
E000000291,-79.775003310000002,-1.224968170000000,49,,,COSTA,670070022
E000000292,-79.575003310000000,-1.224968170000000,40,,,COSTA,670045444
E000000293,-79.325003310000000,-1.224968170000000,89,,,SIERRA,670071045
E000000294,-79.275003310000002,-1.224968170000000,200,,,SIERRA,670050567
E000000295,-78.725003310000005,-1.224968170000000,3323,,,SIERRA,620644316
E000000296,-78.625003309999997,-1.224968170000000,2553,,,SIERRA,620927772
E000000297,-77.425003309999994,-1.224968170000000,481,,,AMAZONIA,620934652
E000000298,-76.775003310000002,-1.224968170000000,311,,,AMAZONIA,620875484
E000000299,-76.375003309999997,-1.224968170000000,240,,,AMAZONIA,620850714
E000000300,-76.025003310000002,-1.224968170000000,236,,,AMAZONIA,620547996
E000000301,-80.825003310000000,-1.174968170000000,80,,,COSTA,670056709
E0000M0448,-80.624166669999994,-1.152777778000000,235,LA LAGUNA,,COSTA,670007555
E0000M0470,-79.494166669999998,-1.176944444000000,58,MOCACHE,,COSTA,670061828
E000000304,-77.875003309999997,-1.174968170000000,490,,V,AMAZONIA,620915385
E0000M0450,-80.777222219999999,-1.129444444000000,197,CAMARONES-MANABI,,COSTA,670055683
E000000306,-80.175003309999994,-1.124968170000000,369,,,COSTA,670044418
E000000307,-79.475003310000005,-1.124968170000000,58,,V,COSTA,670081281
E0000M0123,-79.081900000000005,-1.135100000000000,1471,EL CORAZON,,SIERRA,670079235
E000000309,-78.925003309999994,-1.124968170000000,2814,,,SIERRA,670039298
E0000M0453,-80.688888890000001,-1.054166667000000,226,CHORRILLOS,,COSTA,670065921
E0000M0454,-80.292500000000004,-1.054444444000000,118,RIO CHICO EN ALAJUELA,,COSTA,670052608
E000000312,-80.225003310000005,-1.074968170000000,385,,,COSTA,670048512
E000000313,-79.475003310000005,-1.074968170000000,72,,,COSTA,670075133
E000000314,-78.725003310000005,-1.074968170000000,3409,,V,SIERRA,620637428
E000000315,-78.475003310000005,-1.074968170000000,3173,,,SIERRA,620831442
E000000316,-78.225003310000005,-1.074968170000000,2765,,,AMAZONIA,620703476
E0000M0005,-80.459599999999995,-1.037600000000000,46,PORTOVIEJO-UTM,,COSTA,670062848
E0000M0464,-80.232777780000006,-1.036666667000000,128,RIO CHAMOTETE-JESUS MARIA,,COSTA,670047487
E000000319,-79.475003310000005,-1.024968170000000,70,,,COSTA,670075133
E000000320,-78.725003310000005,-1.024968170000000,3493,,,SIERRA,620704850
E0000M0004,-78.594600000000000,-1.020000000000000,2685,RUMIPAMBA-SALCEDO,,SIERRA,620889232
E000000322,-78.425003309999994,-1.024968170000000,3788,,,SIERRA,620798418
E000000323,-77.425003309999994,-1.024968170000000,407,,,AMAZONIA,620572751
E000000324,-80.725003310000005,-0.974968170000000,37,,,COSTA,670057725
E000000325,-80.675003309999994,-0.974968170000000,24,,,COSTA,670057725
E000000326,-79.275003310000002,-0.974968170000000,177,,,SIERRA,670053628
E000000327,-79.225003310000005,-0.974968170000000,396,,,SIERRA,670074109
E000000328,-76.225003310000005,-0.974968170000000,201,,,AMAZONIA,620036110
E000000329,-80.425003309999994,-0.724968170000000,227,,V,COSTA,670056690
E0000M0462,-80.208888889999997,-0.928333333000000,20,JUNIN,,COSTA,670049531
E000000331,-80.175003309999994,-0.924968170000000,334,,,COSTA,670061818
E000000332,-79.775003310000002,-0.924968170000000,91,,,COSTA,670042364
E000000333,-79.225003310000005,-0.924968170000000,236,,V,SIERRA,670065915
E000000334,-78.975003310000005,-0.924968170000000,3765,,V,SIERRA,670074108
E000000335,-78.775003310000002,-0.924968170000000,4055,,,SIERRA,620505325
E000000336,-78.625003309999997,-0.924968170000000,2762,,V,SIERRA,620934634
E000000337,-78.525003310000002,-0.924968170000000,3496,,,SIERRA,620549355
E000000338,-78.475003310000005,-0.924968170000000,3745,,,SIERRA,620549355
E000000339,-77.825003310000000,-0.924968170000000,586,,V,AMAZONIA,620831435
E000000340,-77.375003309999997,-0.924968170000000,315,,V,AMAZONIA,620550731
E000000341,-75.425003309999994,-0.924968170000000,200,,,AMAZONIA,620715851
E000000342,-75.375003309999997,-0.924968170000000,183,,V,AMAZONIA,621037832
E000000343,-80.275003310000002,-0.874968170000000,87,,,COSTA,670067960
E000000344,-80.075003310000000,-0.874968170000000,185,,,COSTA,670082298
E000000345,-79.475003310000005,-0.874968170000000,93,,,COSTA,670085369
