Clave,Longitud,Latitud,comid
E016050060,-73.388333329999995,8.293055560000004,610192236
E016055010,-73.357500000000002,8.315277780000002,610175517
E016055020,-73.285277780000001,8.442222220000000,610289034
E016055040,-73.223055560000006,8.087222219999999,610251216
E021010040,-76.085694439999997,1.961472220000000,610180305
E021010050,-76.214916669999994,1.931583330000000,610125746
E021010110,-76.074416670000005,1.844916670000000,610124871
E021010140,-76.360833330000006,1.864388890000000,610110792
E021010160,-76.394166670000004,1.899444440000000,610104628
E021010190,-76.249722219999995,1.848944440000000,610110794
E021010230,-76.304249999999996,1.905805560000000,610159187
E021015030,-76.294972220000005,1.888472220000000,610133669
E021020040,-75.909999999999997,2.020000000000000,610225180
E021020050,-76.010000000000005,1.980000000000000,610210223
E021030080,-75.942222220000005,1.813611110000000,610084394
E021030090,-75.677722220000007,2.202944440000000,610276210
E021040020,-75.728472220000000,2.334027780000000,610007801
E021040030,-76.100305559999995,2.030944440000000,610154778
E021050090,-75.806500000000000,2.551444440000000,610305227
E021050140,-75.615666669999996,2.510777780000000,610164429
E021050150,-75.760000000000005,2.460000000000000,610308753
E021050170,-75.758944439999993,2.652388890000000,610283221
E021050290,-75.728499999999997,2.491277780000000,610264752
E021055030,-76.159999999999997,2.240000000000000,610213727
E021060070,-75.538083330000006,2.388916670000000,610203158
E021060080,-75.605055559999997,2.190083330000000,610163572
E021060090,-75.435527780000001,2.574805560000000,610179390
E021065040,-75.529444440000006,2.252500000000000,610136287
E021080070,-75.580916669999993,2.636916670000000,610265623
E021080080,-75.632000000000005,2.793055560000000,610199615
E021090020,-75.399194440000002,2.855555560000000,610207531
E021110040,-75.168416669999999,3.074888890000000,610217199
E021110070,-75.057333330000006,3.150333330000000,610215433
E021110160,-75.199027779999994,3.118472220000000,610217199
E021110180,-75.159722220000006,3.036027780000000,610217199
E021110330,-75.218416669999996,3.187388890000000,610331591
E021110400,-75.108194440000005,2.851138890000000,610262971
E021110440,-75.239277779999995,2.795666670000000,610219856
E021115020,-75.293055559999999,2.948750000000000,610348325
E021115100,-75.066388889999999,2.942638890000000,610289364
E021130010,-74.936499999999995,3.847333330000000,610429231
E021130110,-75.489999999999995,3.270000000000000,610220705
E021135020,-75.015722220000001,3.855833330000000,610202188
E021135030,-75.108999999999995,3.573833330000000,610334206
E021140080,-74.739999999999995,3.480000000000000,610319252
E021140120,-74.920249999999996,3.425861110000000,610225977
E021145040,-75.110111110000005,3.373361110000000,610409020
E021145080,-74.702944439999996,3.589777780000000,610321006
E021160030,-74.687611110000006,4.066388890000000,610288417
E021160040,-74.810944440000000,3.746250000000000,610355318
E021185030,-74.981388890000005,4.008833330000000,610274340
