Clave,Longitud,Latitud,Altura,Nombre,Estacion,DEPARTAMEN,PROVINCIA,MUNICIPIO,comid
E000005038,-65.83333,-21.33333,3121,Oploca,,Potos?,Sud Chichas,Tupiza,640517630
E000005045,-66.9,-21.83333,4450,San Antonio de Lipez,,Potos?,Sud Lipez,San Pablo,660128962
E000005046,-66.61667,-21.68333,4230,San Pablo de Lipez,,Potos?,Sud Lipez,San Pablo,660143743
E000005049,-65.81667,-21.68333,3000,San Jos? de Pampa Grande,,Potos?,Sud Chichas,Tupiza,640360979
E000005050,-65.72083,-19.53667,4100,Potosi Aeropuerto,,Potos?,Tomas Frias,Potos�,640292895
E000005052,-66.56028,-18.425,3792,Llallagua,,Potos?,Rafael Bustillo,Llallagua,620131985
E000005054,-64.83333,-19.58333,2050,Oronkota PTI,,Potos?,Jose Maria Linares,Villa Ricardo Mugia - Icla,640482975
E000005058,-66.21667,-20.93333,3700,Atocha,,Potos?,Sud Chichas,Atocha,640530281
E000005060,-65.61583,-20.46667,2580,Tumusla,,Potos?,Nor Chichas,Cotagaita,640485328
E000005062,-65.53333,-19.31667,3850,Colavi,,Potos?,Cornelio Saavedra,Tacobamba,640323985
E000005063,-65.21278,-19.38056,2645,Casin,,Potos?,Cornelio Saavedra,Betanzos,640508309
E000005065,-66.08333,-18.01667,3020,Acasio,,Potos?,Gral.B.Bilbao,Acasio,620144349
E000005069,-66.14917,-18.86972,3700,Ayoma,,Potos?,Chayanta,Colquechaca,620123753
E000005071,-66.53111,-20.06722,3920,Tomave,,Potos?,Antonio Quijarro,Tomave,640400059
E000005072,-65.98333,-18.26667,2743,San Pedro de Buena Vista,,Potos?,Charcas,San Pedro,620181513
E000005074,-68.96667,-19.05,3440,Actara,,Potos?,Chayanta,,660184531
E000005089,-65.66667,-20.82083,2620,Cotagaita,,Potos?,Nor Chichas,Cotagaita,640572899
E000006001,-63.29389,-21.85556,480,Algarrobillas,,Tarija,Gran Chaco,Yacuiba,640416283
E000006002,-64.46667,-21.3,2980,Alto Cajas,,Tarija,Mendez,San Lorenzo,640032636
E000006006,-64.85083,-21.90222,2030,Ca?as,,Tarija,Arce,Padcaya,640508445
E000006009,-64.78889,-21.49917,2027,Coimata,,Tarija,Mendez,San Lorenzo,640388615
E000006010,-65.2,-21.25,2345,El Puente,,Tarija,Mendez,El Puente,640569466
E000006012,-63.86861,-21.70417,800,Itau,,Tarija,Gran Chaco,Carapar�,640493458
E000006014,-64.7975,-21.81028,1900,Juntas,,Tarija,Aviles,Uriondo,640568344
E000006018,-64.27944,-21.40806,1800,Narvaez,,Tarija,O'Connor,Entre R�os,640425474
E000006021,-63.44194,-21.53139,460,Palmar Grande,,Tarija,Gran Chaco,Villa Montes,640344841
E000006023,-64.87833,-21.73472,2100,Pinos Sud,,Tarija,Cercado,Tarija,640023444
E000006027,-64.72,-21.61028,1820,San Jacinto Sud,,Tarija,Cercado,Tarija,640529165
E000006028,-64.815,-21.62333,1987,San Andres,,Tarija,Cercado,Tarija,640499214
E000006030,-64.7,-21.38333,2080,Sella Quebrada,,Tarija,Mendez,San Lorenzo,640426625
E000006031,-64.71083,-21.54667,1875,Tarija Aeropuerto,,Tarija,Cercado,Tarija,640405897
E000006032,-65.045,-21.26833,2720,Tomayapo Pueblo,,Tarija,Mendez,El Puente,640542971
E000006033,-64.81583,-21.30806,2200,Trancas,,Tarija,Mendez,San Lorenzo,640479613
E000006036,-63.65444,-21.96556,580,Yacuiba Aeropuerto,,Tarija,Gran Chaco,Yacuiba,640313761
E000006037,-64.55083,-21.37222,2200,Yesera Norte,,Tarija,Cercado,Tarija,640412800
E000006039,-64.31167,-22.77083,385,Bermejo Aeropuerto,,Tarija,Arce,Bermejo,640367949
E000006043,-64.72111,-21.54306,1859,El Tejar (TJA),,Tarija,Cercado,Tarija,640405897
E000006044,-64.17056,-21.50306,1260,Entre Rios (TJA),,Tarija,O'Connor,Entre R�os,640532614
E000006045,-64.06639,-21.17417,770,Timboy,,Tarija,O'Connor,Entre R�os,640367862
E000006052,-65.32639,-21.81889,2643,Tojo,,Tarija,Mendez,Yunchar�,640529178
E000006053,-64.23472,-21.1475,821,San Josecito,,Tarija,O'Connor,Culpina,640613237
E000006055,-63.76139,-21.19056,495,Puerto Margarita,,Tarija,Gran Chaco,Entre R�os,640514169
E000006056,-62.9175,-21.82472,292,Crevaux,,Tarija,Gran Chaco,Yacuiba,640409367
E000006064,-64.03806,-21.445,1103,Berety,,Tarija,O'Connor,Entre R�os,640418562
E000006069,-62.99722,-21.54167,398,Ibibobo,,Tarija,Gran Chaco,Villa Montes,640462345
E000006132,-63.41222,-21.39,396,Aguaraycito,,Tarija,Gran Chaco,Villa Montes,640424320
E000006153,-64.97556,-21.5125,3460,Campanario,,Tarija,Mendez,El Puente,640424329
E000006161,-64.67667,-22.02472,1509,La Merced,,Tarija,Arce,Padcaya,640539555
E000006163,-63.955,-21.32806,786,Tarupayo,,Tarija,O'Connor,Entre R�os,640478462
E000006164,-64.77833,-21.55667,1978,Turumayo,,Tarija,Cercado,Tarija,640345996
E000006166,-63.78139,-21.415,763,Palos Blancos,,Tarija,O'Connor,Entre R�os,640514180
E000006167,-63.55056,-21.66056,619,Sachapera,,Tarija,Gran Chaco,Yacuiba,640411664
E000007001,-63.40444,-18.91972,440,Abapo,,Santa Cruz,Cordillera,Guti�rrez,620210443
E000007002,-63.16917,-15.91528,247,Asencion de Guarayos Aerop,,Santa Cruz,?uflo de Chavez,Ascenci�n de Guarayos,620298349
E000007006,-64.52972,-17.91361,1614,Comarapa,,Santa Cruz,Obispo Santistevan,Comarapa,620105814
E000007007,-62.0275,-16.13833,497,Concepcion Aeropuerto SCZ,,Santa Cruz,?uflo de Chavez,Concepci�n,620367160
E000007010,-63.37917,-18.56556,570,Florida,,Santa Cruz,Cordillera,Cabezas,620100341
E000007012,-63.95,-18.1,1350,Mairana,,Santa Cruz,Florida,Mairana,620131969
E000007014,-64.21667,-18.11667,1400,Mataral,,Santa Cruz,Florida,Pampa Grande,620160866
E000007015,-63.24167,-17.11,245,Minero (Unagro),,Santa Cruz,Obispo Santistevan,Mineros,620211721
E000007017,-62.88333,-17.21667,252,Okinawa I,,Santa Cruz,Warnes,Okinawa Uno,620235124
E000007022,-57.81917,-18.97889,234,Puerto Suarez Aeropuerto,,Santa Cruz,German Busch,Puerto Suarez,640247936
E000007026,-59.76333,-18.32972,277,Robor? Aeropuerto,,Santa Cruz,Chiquitos,Robor�,640219101
E000007028,-60.96194,-16.38167,413,San Ignacio de Velasco Aerop,,Santa Cruz,Velasco,San Ignacio,620247461
