Estacion,Lon,Lat,1,3,6,9,12
E000V00131,-72.95,-39.632,0.386,-0.774,-0.367,-0.367,-0.456
E000390006,-73.087,-39.657,0.162,-0.968,-0.379,-0.381,-0.437
E000V00130,-72.501,-39.863,0.14,-0.647,-0.361,-0.403,-0.33
E000V00191,-71.91,-39.88,1.334,-0.241,-0.317,-0.319,0.23
E000V00132,-72.927,-40.096,0.207,-1.027,-0.312,-0.328,-0.413
E000V00134,-72.415,-40.134,0.115,-0.632,-0.383,-0.361,-0.347
E000V00133,-73.024,-40.317,0.742,-0.546,-0.227,-0.29,-0.102
E000V00135,-72.979,-40.323,0.742,-0.527,-0.229,-0.291,-0.097
E000V00139,-73.308,-40.348,0.316,-1.148,-0.667,-0.723,-0.659
E000V00192,-72.0,-40.52,0.564,-0.118,-0.497,-0.429,-0.12
E000400009,-73.058,-40.614,0.584,-0.941,-0.541,-0.604,-0.597
E000V00194,-72.116,-40.623,0.649,-0.26,-0.684,-0.608,-0.308
E000V00136,-73.152,-40.765,-0.225,-1.274,-0.607,-0.612,-0.621
E000V00138,-73.15699999999998,-40.861,0.038,-1.197,-0.594,-0.626,-0.647
E000V00195,-73.815,-40.873,-0.133,-0.933,-0.693,-0.67,-0.666
E000V00137,-72.88599999999998,-40.957,0.029,-1.147,-0.583,-0.62,-0.64
E000V00142,-73.37699999999998,-41.115,-0.113,-1.16,-0.758,-0.773,-0.82
E000V00197,-72.339,-41.142,0.353,-0.466,-0.787,-0.657,-0.322
E000V00196,-73.80899999999998,-41.359,-0.068,-1.031,-0.808,-0.816,-0.855
E000410005,-73.096,-41.448,0.339,-0.688,-0.8,-0.83,-0.825
E000V00198,-72.275,-41.579,-0.143,-0.219,-0.87,-0.706,-0.361
E000V00144,-73.67199999999998,-41.71,0.578,-1.035,-0.812,-0.806,-0.856
E000V00140,-72.435,-41.938,0.341,0.026,-0.928,-0.771,-0.446
E000V00141,-71.865,-42.075,-0.117,-0.971,-1.577,-1.436,-0.894
E000V00151,-72.417,-42.1,0.433,-0.068,-1.119,-0.989,-0.586
E000V00149,-73.48999999999998,-42.157,0.436,-0.334,-0.346,-0.371,-0.508
E000V00199,-74.078,-42.285,0.166,-0.279,-0.473,-0.507,-0.478
E000V00201,-72.66299999999998,-42.355,-0.365,-0.217,-1.189,-1.006,-0.755
E000V00147,-73.568,-42.404,0.436,-0.334,-0.346,-0.371,-0.508
