Clave,Longitud,Latitud,Altitud,Estaci�n,Nombre,comid
E000V00069,-71.897999999999996,-34.645000000000003,"75",V,PAREDONES,660065113
E000V00072,-71.400000000000006,-34.691000000000003,"173",V,SANTA CRUZ,660069337
E000V00070,-71.629999999999995,-34.713999999999999,"114",V,LOLOL,660082010
E000340044,-71.019999999999996,-34.720999999999997,"321",O,CHIMBARONGO,660041178
E000V00181,-70.519999999999996,-34.780999999999999,NA,V,V18,660053851
E000V00086,-72.025999999999996,-34.854999999999997,"46",V,VICHUQU�N,660091868
E000V00084,-71.125000000000000,-34.960000000000001,"311",V,ROMERAL,660074270
E000V00083,-71.831999999999994,-34.968000000000004,"39",V,HUALA�E,660085534
E000340031,-71.216999999999999,-34.969000000000001,"229",O,CURICO,660075678
E000V00085,-70.811000000000007,-35.000000000000000,"673",V,TENO,660079199
E000V00076,-71.956000000000003,-35.128000000000000,"48",V,CUREPTO,660065825
E000V00182,-70.829999999999998,-35.398000000000003,NA,V,V19,660058790
E000V00079,-71.466999999999999,-35.418999999999997,"151",V,PELARCO,660077798
E000V00078,-71.700000000000003,-35.533000000000001,"114",V,MAULE,660026408
E000V00074,-71.453999999999994,-35.662999999999997,"250",V,COLB�N,660046122
E000V00077,-72.081999999999994,-35.671999999999997,"335",V,EMPEDRADO,660076395
E000V00080,-71.061999999999998,-35.698999999999998,"539",V,R�O CLARO,660086250
E000V00081,-72.510999999999996,-35.707000000000001,"60",V,CHANCO,660005290
E000V00075,-71.631000000000000,-35.753000000000000,"140",V,VILLA ALEGRE,660084140
E000V00082,-72.587000000000003,-35.835999999999999,"172",V,PELLUHUE,660102444
E000V00183,-71.049999999999997,-36.060000000000002,NA,V,V20,660041201
E000V00087,-72.783000000000001,-36.133000000000003,"124",V,COBQUECURA,660064434
E000V00073,-71.548000000000002,-36.256999999999998,"399",V,PARRAL,660065844
E000V00091,-71.900000000000006,-36.292000000000002,"170",V,�IQU�N,660084853
E000V00090,-72.640000000000001,-36.430000000000000,"36",V,TREGUACO,660093303
E000V00088,-72.698999999999998,-36.491999999999997,"80",V,COELEMU,660056696
E000V00092,-71.549000000000007,-36.560000000000002,"472",V,SAN FABI�N,660086969
E000360011,-72.037000000000006,-36.585999999999999,"155",O,CHILLAN,660033465
E000V00089,-72.602999999999994,-36.625000000000000,"74",V,R�NQUIL,660010938
E000V00099,-72.965000000000003,-36.671999999999997,"190",V,TOM�,660084156
E000V00096,-72.703999999999994,-36.697000000000003,"268",V,FLORIDA,660010235
E000V00098,-72.983000000000004,-36.732999999999997,"38",V,PENCO,660087677
E000360019,-73.066000000000003,-36.780999999999999,"13",O,CONCEPCION,660087677
E000V00184,-71.500000000000000,-36.880000000000003,NA,V,V21,660061631
E000V00093,-72.099000000000004,-36.976999999999997,"199",V,PEMUCO,660039808
E000V00095,-73.140000000000001,-37.005000000000003,"57",V,CORONEL,660060929
E000V00106,-72.403000000000006,-37.034999999999997,"130",V,CABRERO,660053889
E000V00097,-73.155000000000001,-37.091999999999999,"20",V,LOTA,660067267
E000V00105,-71.245000000000005,-37.110999999999997,"1345",V,ANTUCO,660075010
E000V00094,-72.012000000000000,-37.140999999999998,"265",V,YUNGAY,660036291
E000V00108,-72.945999999999998,-37.167000000000002,"50",V,NACIMIENTO,660093315
E000V00107,-72.328000000000003,-37.213000000000001,"146",V,LAJA,660104580
E000V00111,-71.948999999999998,-37.292999999999999,"344",V,TUCAPEL,660082053
E000V00100,-73.436999999999998,-37.305000000000000,"120",V,ARAUCO,660086982
E000V00185,-71.566000000000003,-37.323000000000000,NA,V,V22,660107398
E000370033,-72.424000000000007,-37.396999999999998,"118",O,LOS �NGELES,660101063
E000V00186,-72.829999999999998,-37.417999999999999,NA,V,V23,660073607
E000V00103,-73.329999999999998,-37.484999999999999,"145",V,CURANILAHUE,660014472
E000V00110,-71.875000000000000,-37.536000000000001,"369",V,QUILLECO,660103177
E000V00104,-73.462000000000003,-37.627000000000002,"179",V,LOS ALAMOS,660060940
E000V00109,-72.007000000000005,-37.685000000000002,"231",V,QUILACO,660096844
E000V00116,-72.605000000000004,-37.725999999999999,"88",V,REINACO,660078541
E000V00101,-73.412000000000006,-37.892000000000003,"36",V,CA�ETE,660090511
E000V00102,-73.096999999999994,-37.950000000000003,"41",V,CONTULMO,660100368
E000V00112,-71.435000000000002,-38.057000000000002,"742",V,ALTO BIOB�O,660060241
E000V00114,-72.298000000000002,-38.146000000000001,"379",V,ERCILLA,660097556
E000V00117,-72.272999999999996,-38.228000000000002,"388",V,VICTORIA,660095444
E000V00113,-71.233000000000004,-38.250000000000000,"1100",V,CURACAUT�N,660087701
E000V00188,-72.956000000000003,-38.207000000000001,NA,V,V25,660072212
E000V00187,-71.750000000000000,-38.414000000000001,NA,V,V24,660078552
E000V00121,-72.399000000000001,-38.435000000000002,"299",V,PERQUENCO,660075736
E000V00129,-72.849999999999994,-38.445999999999998,"197",V,GALVARINO,660105304
E000V00126,-72.224000000000004,-38.674999999999997,"55",V,CHOLCHOL,660095452
E000V00115,-71.141000000000005,-38.731999999999999,"1084",V,LONQUIMAY,660063774
E000380013,-72.459999999999994,-38.768000000000001,"86",O,TEMUCO,660027166
E000V00120,-71.683000000000007,-38.834000000000003,"527",V,MELIPEUCO,660048990
E000V00128,-72.787000000000006,-39.021999999999998,"78",V,FREIRE,660077154
E000V00127,-72.251999999999995,-39.006999999999998,"235",V,CUNCO,660081376
E000V00122,-72.921999999999997,-39.070999999999998,"56",V,PITRUFQU�N,660069411
E000V00118,-72.614999999999995,-39.103000000000002,"110",V,GORBEA,660022243
E000V00124,-73.132999999999996,-39.164999999999999,"8",V,TOLT�N,660076453
E000V00125,-72.260999999999996,-39.195999999999998,"264",V,VILLARRICA,660034917
E000V00119,-71.867999999999995,-39.262000000000000,"279",V,LONCOCHE,660082086
E000V00123,-71.926000000000002,-39.289000000000001,"250",V,PUC�N,660047591
E000V00189,-72.549999999999997,-39.372999999999998,NA,V,V26,660087016
E000V00190,-73.177000000000007,-39.390000000000001,NA,V,V27,660005352
E000V00131,-72.950000000000003,-39.631999999999998,"31",V,M�FIL,660012396
E000390006,-73.087000000000003,-39.656999999999996,"18",O,VALDIVIA AP. PICHOY,660046893
E000V00130,-72.501000000000005,-39.863000000000000,"258",V,LOS LAGOS,660026480
E000V00191,-71.909999999999997,-39.880000000000003,NA,V,V28,660071536
E000V00132,-72.927000000000007,-40.095999999999997,"96",V,PAILLACO,660023668
E000V00134,-72.415000000000006,-40.134000000000000,"87",V,FUTRONO,660041269
E000V00193,-73.647000000000006,-40.167999999999999,NA,V,V30,660075061
E000V00133,-73.024000000000001,-40.317000000000000,"27",V,LA UNI�N,660091960
E000V00135,-72.978999999999999,-40.323000000000000,"40",V,R�O BUENO,660091256
E000V00139,-73.308000000000007,-40.347999999999999,"17",V,SAN PABLO,660097593
E000V00192,-72.000000000000000,-40.520000000000003,NA,V,V29,660077882
E000400009,-73.058000000000007,-40.613999999999997,"61",O,OSORNO CA�AL BAJO AD.,660075069
E000V00194,-72.116000000000000,-40.622999999999998,NA,V,V31,660046205
E000V00136,-73.152000000000001,-40.765000000000001,"83",V,R�O NEGRO,660018751
E000V00138,-73.156999999999996,-40.860999999999997,"97",V,PUYEHUE,660076482
E000V00195,-73.814999999999998,-40.872999999999998,NA,V,V32,660066625
E000V00137,-72.885999999999996,-40.957000000000001,"178",V,PUERTO OCTAY,660074369
E000V00142,-73.376999999999995,-41.115000000000002,"137",V,FRESIA,660087046
E000V00197,-72.338999999999999,-41.142000000000003,NA,V,V34,660090566
E000V00143,-73.009000000000000,-41.259000000000000,"52",V,LLANQUIHUE,660109576
