Clave,Longitud,Latitud,estaciones,comid
TA03073CP1,-71.944999999999993,8.199999999999999,,610201046
TA03081CP1,-72.251999999999995,8.121000000000000,,610211612
TA03082CP1,-72.162999999999997,8.167000000000000,,610281130
TA03094CP1,-72.061000000000007,8.037000000000003,,610209856
TA03097CP1,-71.765000000000001,8.023000000000000,,610247697
TA04012CP1,-72.450000000000003,7.917000000000000,,610313704
TA04014CP1,-72.245999999999995,7.933000000000000,,610215143
TA04018CP1,-72.123999999999995,7.919000000000000,,610200183
TA04022CC3,-72.450000000000003,7.850000000000000,svsa,610307550
TA04024CP1,-72.375000000000000,7.788000000000000,,610167633
TA04037CP1,-72.209999999999994,7.776000000000000,,610268831
TA04051CP1,-72.433000000000007,7.567000000000000,,610218687
TA04057CP1,-71.938000000000002,7.556000000000000,,610326924
TA04058CP1,-71.778000000000006,7.555000000000000,,610198445
TA04059CP1,-71.558999999999997,7.549000000000000,,610279406
TA04083CC1,-72.176000000000002,7.586000000000000,,610253885
TA04085CC1,-71.963999999999999,7.754000000000000,,610297872
TA04091CP1,-71.741000000000000,7.915000000000000,,610310184
TA04092CP1,-71.813999999999993,7.823000000000000,,610321628
TA04093CP1,-71.957999999999998,7.941000000000000,,610212502
TA08052CC1,-71.846999999999994,8.499000000000002,,610222147
TA08054CP1,-71.766999999999996,8.500000000000000,,610244156
TA08065CP1,-72.063000000000002,8.276000000000000,,610219523
TA08066CP1,-71.894000000000005,8.141999999999999,,610195771
TA08067CP1,-71.832999999999998,8.050000000000002,,610224813
TA09006CP1,-72.343000000000004,7.504000000000000,,610247729
TR02113CP1,-70.700999999999993,9.141999999999999,,610047872
TR02127CP1,-70.242999999999995,9.763000000000000,,610189515
TR02129CP1,-70.447999999999993,9.727000000000000,,610170154
TR02136CP1,-70.221999999999994,9.637000000000000,,610162240
TR02141CC1,-70.674000000000007,9.535000000000000,,610144646
TR02166CP1,-70.274000000000001,9.369000000000000,,610149939
TR02172CP1,-70.662000000000006,9.366000000000000,,610052256
TR02185CP1,-70.528000000000006,9.250999999999999,,610171064
TR02190CP1,-70.060000000000002,9.397000000000000,,610163134
TR02196CP1,-70.465999999999994,9.060000000000000,,610170194
VA00508CP1,-66.897999999999996,10.621000000000000,,610080347
VA00515CC3,-66.983000000000004,10.600000000000000,SVMI,610126105
VA01404CP1,-67.349999999999994,10.532999999999999,,610143706
VA05005CP1,-66.736000000000004,10.622999999999999,,610111148
VA05011CC1,-66.579999999999998,10.624000000000001,,610143701
VA09311CC1,-67.132999999999996,10.532999999999999,,610141068
YA01205CP1,-69.016999999999996,10.231000000000000,,610141088
YA01297CC8,-69.135000000000005,10.050000000000001,,610222054
YA01304CP1,-68.552000000000007,10.586000000000000,,610190341
YA01307CP1,-68.423000000000002,10.545999999999999,,610162185
YA01312CP1,-68.674000000000007,10.599000000000000,,610184181
YA01321CP1,-68.992999999999995,10.429000000000000,,610182433
YA01330CP1,-68.683000000000007,10.428000000000001,,610152512
YA01334CP1,-68.545000000000002,10.425000000000001,,610183313
YA01354CC1,-68.802999999999997,10.247999999999999,,610165722
YA01373CP1,-68.560000000000002,10.162000000000001,,610150767
YA01380CP1,-68.430999999999997,10.259000000000000,,610153402
YA01381CC1,-68.870000000000005,10.144000000000000,,610202690
YA06332CP1,-68.826999999999998,10.361000000000001,,610075954
YA06360CP1,-68.751999999999995,10.151999999999999,,610166609
YA06374CP1,-68.549999999999997,10.350000000000000,,610151638
ZU00051CP1,-72.064999999999998,11.365000000000000,,610047735
ZU00088CC1,-72.260000000000005,11.071999999999999,,610094393
ZU00089CC1,-71.969999999999999,11.513000000000000,,610017806
ZU00093CP1,-72.006000000000000,11.039000000000000,,610121675
ZU00096CP1,-71.840000000000003,11.646000000000001,,610031878
ZU01007CP1,-71.730000000000004,10.967000000000001,,610107599
ZU01009CP1,-71.287999999999997,10.887000000000000,,610102324
ZU01010CP1,-72.447000000000003,10.426000000000000,,610165714
ZU01019CP1,-72.203999999999994,10.792000000000000,,610112011
ZU01032CC1,-72.397999999999996,10.618000000000000,,610151620
ZU01043CP1,-71.611000000000004,10.576000000000001,,610107624
ZU01046CP1,-71.641999999999996,10.632999999999999,,610100576
ZU01047CP1,-71.364000000000004,10.244000000000000,,610203561
ZU01058CP1,-71.143000000000001,10.486000000000001,,610125228
ZU01059CP1,-71.019000000000005,10.470000000000001,,610151630
ZU01079CP1,-72.350999999999999,10.840999999999999,,610097044
ZU01084CP1,-71.209999999999994,10.247999999999999,,610155166
ZU01090CP1,-72.655000000000001,10.055000000000000,,610213255
ZU01094CP1,-72.391000000000005,10.013000000000000,,610129656
ZU01099CP1,-72.454999999999998,11.038000000000000,,610062716
ZU01111CP1,-72.364999999999995,10.928000000000001,,610070642
ZU01169CC1,-70.933000000000007,10.081000000000000,,610120853
ZU01931CC1,-71.210999999999999,10.048000000000000,,610185974
ZU02004CC1,-70.899000000000001,9.882999999999999,,610226464
ZU02010CP1,-71.245999999999995,9.070000000000000,,610277555
ZU02021CP1,-72.808000000000007,9.848000000000001,,610210625
ZU02042CP1,-72.581999999999994,9.656000000000001,,610260799
ZU02092CC1,-72.236000000000004,9.058999999999999,,610311875
ZU02099CC1,-71.899000000000001,8.976000000000003,,610267880
ZU02117CC3,-70.933000000000007,9.817000000000000,svmn,610138469
ZU03007CP1,-71.694000000000003,8.875999999999999,,610189564
ZU03011CP1,-72.311000000000007,8.898999999999999,,610313664
ZU03013CP1,-71.981999999999999,8.843999999999999,,610307489
ZU03025CP1,-71.736999999999995,8.760999999999999,,610217731
ZU08042CP1,-72.659000000000006,8.956000000000000,,610265241
ZU08071CP1,-72.159000000000006,8.538000000000000,,610178146
AP04090CC1,-71.917000000000002,7.283000000000000,,610200222
BO05920CC5,-62.832999999999998,6.283000000000000,,610291801
E000008106,-62.655999999999999,8.291000000000000,,610296963
E000008108,-63.049999999999997,7.761000000000000,,610332196
E000008202,-62.892000000000003,6.510000000000000,,610372749
E000008319,-61.752000000000002,5.584000000000000,,610356967
E000008522,-63.347000000000001,6.834000000000000,,610370091
MI01500CP9,-67.167000000000002,10.323000000000000,,610143718
MI00518CP9,-66.641999999999996,10.500000000000000,,610098828
E000PUNTO1,-60.595999999999997,7.123000000000000,,610314633
E000PUNTO2,-60.686000000000000,7.213000000000000,,610260066
