Clave,Longitud,Latitud,Nombre,comid
E000204721,-71.084,-15.457,SALIDA R.EL PA,670124817
E000204606,-71.117,-15.567,BAMPUTA,670122773
E000204617,-71.467,-15.5,CALLALLI,670126867
E000204614,-72.517,-16.533,CHARACTA,670059320
E000204622,-72.699,-16.556,HACIENDA PAMPATA,670102329
E000200413,-80.55,-4.967,PUNTA ARENA,670067088
E000200419,-80.35,-4.817,LOCUTO,670029195
E000200421,-80.343,-4.946,SAN FRANCISCO,670044559
E000200405,-80.192,-5.107,PUENTE CHULUCANAS,670061973
E000200415,-80.067,-5.033,CHILILIQUE,670048657
E000200427,-80.617,-5.167,PRESA LOS EJIDOS,670067095
E000200425,-79.676,-5.269,BARRIOS,670041498
E000200428,-79.717,-5.417,PUSMALCA,670036384
E000200408,-79.9,-5.206,CORRAL DEL MEDIO,670034329
E000200414,-79.883,-5.321,MALACASI,670050717
E000200434,-79.683,-5.517,HUALCAS,670040484
E000200429,-79.717,-5.517,PATA,670035365
E000200412,-80.833,-5.55,CANAL SECHURA,670035364
E000221401,-73.572,-4.64,NAUTA,621116467
E000250101,-73.533,-5.083,REQUENA,620656906
E000250105,-73.867,-5.483,CALLAO,621033950
E000240111,-72.883,-5.183,COLONIA ANGAMOS,621088975
E000231302,-74.158,-5.405,FLOR DE PUNGA,621087611
E000210501,-69.037,-16.564,PUENTE INTERNACIONAL DESAGUADERO,660097193
E000200307,-80.327,-4.46,ROSITA,670078333
E000200314,-80.26,-4.406,LOS ENCUENTROS,670067066
E000200310,-79.886,-4.406,PUENTE INTERNACIONAL MACARA,670073213
E000240108,-69.95,-4.25,SANTA ROSA,620736667
E000157409,-70.354,-15.716,TOROYA,660012699
E000157412,-70.137,-15.722,UMAYO,660021148
E000000820,-70.342,-15.804,MANAZO,660042973
E000000788,-69.832,-15.606,CAPACHICA,660032410
E000000887,-69.954,-15.502,LLACHAHUI,660035224
E000157448,-70.187,-15.57,YOCARA,660050713
E000157452,-70.516,-15.412,CHAMPICANCHI,660071126
E000000779,-70.365,-15.363,LAMPA,660073941
E000157403,-70.783,-15.517,JARPANA,660063383
E000157408,-70.6,-15.45,PARATIA,660013399
E000157401,-70.75,-15.383,QUILLISANI,660057750
E000157449,-70.594,-15.556,ANDAMARCA,660014808
E000157332,-70.883,-15.65,HACIENDA COLINI,660059866
E000000773,-70.917,-15.583,HACIENDA PINAYA,660004249
E000000886,-70.283,-15.483,ANTIPAMPILLA,660082391
E000000780,-70.346,-15.639,CABANILLAS,660077466
E000000746,-73.361,-15.771,CARAVELI,670122780
E000157301,-72.883,-15.767,YANAQUIHUA,670121757
E000157219,-73.567,-14.6,URAYHUMA,670057202
E000157305,-72.733,-14.917,CHINCHAYLLAPA,670109437
E000157307,-72.667,-15.067,PUICA,670124803
E000157306,-72.667,-14.917,SAIROSA,670092029
E000157223,-73.333,-15.183,LAMPA,670124807
E000157302,-72.833,-15.183,TOMEPAMPA,670120711
E000000814,-72.767,-15.4,ARMA,670105358
E000000801,-72.833,-15.5,SALAMANCA,670115603
E000157303,-72.833,-15.5,SALAMANCA,670115603
E000000745,-73.333,-15.267,PAUSA,670036748
E000157300,-72.916,-15.544,CHICHAS,670120724
E000158100,-73.167,-16.033,URASQUI,670138150
E000000796,-72.767,-15.733,ACOYPAMPA,670033692
E000000841,-72.75,-16,ESBILLA,670091044
E000000813,-73.05,-16.183,PAMPA GRANDE,670096175
E000000830,-73.694,-16.228,PUNTA ATICO,670095146
E000000744,-73.567,-15.25,INCUYO,670118666
E000157216,-73.75,-15.3,TARCO,670094091
E000156128,-75.033,-13.95,LARAMARCA,670053081
E000157101,-75.167,-14.033,CORDOVA,670030556
E000157200,-74.917,-14.233,LLAUTA,670050020
E000151603,-74.833,-14.3,LARAMATE,670026471
E000151602,-74.941,-14.132,HUAC-HUAS,670023393
E000157102,-75.104,-14.237,PAMPA BLANCA,670058212
E000157202,-74.817,-14.4,OCAAA,670057194
E000000696,-74.7,-14.317,UCHUYTAMBO,670047974
E000000673,-74.333,-14.667,JASSU,670053106
E000000739,-74.4,-14.667,PAMPA GALERAS,670053108
E000000699,-75.233,-14.467,EL CARMEN,670064364
E000157201,-74.683,-14.483,OTOCA,670062318
E000000714,-74.433,-14.417,PEDREGAL,670026475
E000000719,-75.183,-14.583,HACIENDA HUAYURI,670038769
E000000703,-74.617,-14.833,PANGARAVI,670078716
E000000726,-74.967,-14.833,HACIENDA MAJORO,670110458
E000000891,-74.245,-15.865,CHALA,670129950
E000000741,-73.867,-15.75,CHAPARRA,670124828
E000000697,-74.517,-14.967,SANTA LUCIA,670094078
E000000701,-75.183,-15.367,PUNTA SAN JUAN,670108430
E000140701,-75.133,-15.333,SAN JUAN,670108430
E000000729,-75.183,-15.367,SAN JUAN DE MARCONA,670108430
E000000890,-74.849,-15.567,LOMAS,670135057
E000140808,-74.85,-15.567,PUNTA LOMAS,670135057
E000157209,-74.267,-14.6,CERRO CONDORILLO,670063346
E000157205,-74.25,-14.483,PAMPAHUASI,670042862
E000140652,-74.217,-14.678,IRURO,670027509
E000157215,-74,-14.6,CCECCAIA,670067443
E000157236,-74.05,-14.717,COCHALLA,670080758
E000157210,-74.1,-14.667,PAUCACORRAL,670068468
E000150118,-74.1,-14.767,SAN PEDRO A,670105336
E000000672,-74.4,-14.933,SAISA,670061309
E000000733,-74.617,-15.4,ACARI,670133007
E000000694,-74.533,-15.2,COBRE PAMPA,670126855
E000157203,-74.567,-15.283,HUARATO,670153482
E000000732,-74.517,-15.667,YAUCA,670121753
E000000742,-73.833,-14.983,CHAVIHA,670085887
E000000740,-73.95,-15.067,SANCOS,670080771
E000157220,-73.733,-15.133,CARHUANILLAS,670111493
E000157237,-73.817,-15.217,PULLO,670098185
E000000734,-74.367,-15.783,ATIQUIPA,670129949
E000000724,-76.231,-13.846,LA PUNTILLA,670062296
E000006637,-75.967,-13.867,HACIENDA DEL SUR,670055128
E000000637,-75.8,-13.95,PAMPA DE VILLACURI,670042843
E000156123,-75.25,-13.833,SANTIAGO DE CHOCORVOS,670042837
E000151510,-75.35,-13.683,AYAVI,670029521
E000156122,-75.274,-13.691,TAMBO,670035664
E000151502,-75.432,-13.728,TAMBILLOS,670032593
E000151508,-75.117,-13.65,YACUNCHO,670028495
E000000640,-75.583,-13.833,HUAMANI,670027476
E000151505,-75.083,-13.917,SANTA ROSA LLIHUA,670034648
E000000793,-75.583,-14.133,FUNDO ROSARIO,670069472
E000157100,-75.283,-14.1,MALLUCHIMPANA,670048991
E000151506,-75.217,-13.95,SAN JUAN DE HUIRPACANCHA,670027483
E000000700,-75.717,-14.067,SAN CAMILO,670035679
E000006642,-75.648,-14.193,SANTIAGO,670069472
E000000730,-75.667,-14.383,OCUCAJE,670054120
E000000725,-76.1,-13.783,NUEVO LANCHAS,670033620
E000140600,-76.217,-13.733,PISCO,670036689
E000151504,-75.567,-13.033,LAGUNA HUICHINGA AURAHUA,670042808
E000000857,-75.648,-13.049,SAN PEDRO DE HUACARPANA,670039736
E000156140,-75.533,-13.117,ARMAS,670037691
E000156113,-75.792,-13.208,SAN JUAN DE YANAC,670035646
E000151503,-75.533,-13.217,HUACHOS,670022335
E000156114,-75.629,-13.211,SAN JUAN DE CASTROVIRREYNA,670040766
E000000721,-76.043,-13.481,HACIENDA CAUCATO,670027464
E000000718,-76.167,-13.483,SAN ANTONIO,670034632
E000000650,-75.95,-13.75,HACIENDA BERNALES,670052050
E000000645,-75.333,-13.333,SINTO,670023364
E000156119,-75.317,-13.117,TOTORA,670042811
E000000514,-75.067,-13.1,PULTOC,670034618
E000151509,-75.1,-13.433,HORNADA,670024391
E000000643,-75.367,-13.267,COCAS,670023361
E000156117,-75.433,-13.383,TICRAPO,670031557
E000000639,-75.617,-13.6,HUANCANO,670028494
E000156132,-75.717,-13.65,LETRAYOC,670042831
E000156121,-75.3,-13.483,CUSICANCHA,670030536
E000000723,-76.033,-13.683,HACIENDA MANRIQUE,670006992
E000000496,-76.283,-13.267,PAUNA ( TOPARA),670018239
E000155155,-76.33,-13.075,HACIENDA CA,670026426
E000156103,-76.139,-12.294,HUAAEC,670029469
E000000633,-76.233,-12.133,HUAROCHIRI,670039702
E000151207,-76.217,-12.217,HUANCATA,670029466
E000156104,-76.133,-12.383,AYAVIRI,670034592
E000K9NOVF,-76.3,-12.283,TINCO,670028444
E000000631,-76.493,-12.522,CALANGO (LA CAPILLA II),670035621
E000151212,-76.217,-12.45,SAN PEDRO DE PILAS,670026403
E000155450,-75.723,-12.316,YAURICOCHA,670030493
E000156106,-76.017,-12.117,TANTA,670030487
E000156111,-75.826,-12.115,VILCA,670046870
E000155441,-75.661,-12.22,CHAUCHA,620472902
E000156109,-75.872,-12.344,CARANIA,670027423
E000000495,-75.65,-12.533,CHUNCHO,670024358
E000156112,-75.817,-12.45,HUANTAN,670032547
E000000636,-75.908,-12.492,YAUYOS,670041763
E000156107,-75.883,-12.633,COLONIA,670024362
E000155172,-75.817,-12.75,PAMPAS,670029486
E000156108,-75.883,-12.8,CATAHUASI,670030511
E000155179,-76.033,-12.833,CALLANGAS,670021295
E000156110,-75.834,-12.899,HUANGASCAR,670031540
E000151216,-76.517,-12.217,PIEDRA GRANDE,670020251
E000000494,-76.733,-12.483,SAN JAVIER DE ALTO CHUNCHO,670037668
E000000497,-76.82,-12.326,TABLADA DE LURIN,670031517
E000000624,-77.015,-12.202,PANTANOS DE VILLA,670044825
E000140500,-77.117,-12,AEROPUERTO INTERNACIONAL,670036626
E000000599,-77.188,-11.776,ISLETA ANCON,670030473
E000000618,-77.1,-11.783,HUARANGAL,670022281
E000155218,-76.567,-11.4,HUAROS,670040700
E000155209,-76.75,-11.5,HUAMANTANGA,670018177
E000155217,-76.617,-11.55,LACHAQUI,670021249
E000151204,-76.7,-11.617,ARAHUAY,670039684
E000000487,-77.033,-11.917,COLLIQUE,670024336
